Total Flights_mean,Total Flights_std,Distance_mean,Points Redeemed_mean,max_inactive_streak,flight_trend,redemption_ratio,CLV
1.9166666666666667,1.5298953265321544,8.126789094733377,4.15953391319065,2,0.048695652173913,0.0186352999137824,8.977171737014885
2.125,1.6235361299390263,7.962967020036079,3.927732299133326,3,0.0421739130434782,0.0173394468788995,7.968575699877709
1.9583333333333333,1.7062332443303203,8.018515701585894,3.246815193557442,1,0.027391304347826,0.0081393433622488,7.951231812738217
0.9166666666666666,1.316010660280157,7.374106412646299,3.607533814659984,6,0.0521739130434782,0.0225180458206925,8.336047742735918
1.5416666666666667,1.864523873636999,7.7374163791744675,3.7602306536690144,3,-0.0143478260869565,0.0183100896412531,8.798311267905373
1.7083333333333333,1.73152776639507,7.870818267403044,4.069738751419901,4,-0.0847826086956522,0.0219733010867316,10.786386120216147
1.375,1.6100904646471967,7.557886219146381,3.190133356002547,5,-0.03,0.0121640735502121,8.54575732438099
1.375,1.4688800821211287,7.742365852180187,3.8832805365624923,2,0.0308695652173913,0.0206622037271575,7.810604071426267
1.4583333333333333,1.5316704909195136,7.7953893016064875,4.2496850101849475,2,0.0630434782608695,0.028448379403236,8.673586497533412
0.7916666666666666,1.4135729219948654,7.056929310096172,0.0,10,-0.0204347826086956,0.0,9.083484931227009
1.75,1.7507762253652943,7.675371973474555,3.8589737843383305,2,-0.0608695652173913,0.0215528082496565,8.969898056083643
1.7083333333333333,1.8292114401439823,7.951207156472972,4.613882126590113,2,-0.0117391304347826,0.035192036645525,8.900457679340123
2.5454545454545454,4.824181513244218,7.942523754642043,3.8616861912665525,5,-0.1818181818181816,0.0110292533712463,10.436789872146804
1.5,1.560378995210988,7.70769944298587,3.0872473823897644,2,0.0043478260869565,0.0094032143258532,8.49568963836567
1.2083333333333333,1.6145847942957392,7.557538173635917,4.563045259687421,3,-0.0343478260869565,0.0495657284660092,8.40270447353154
1.25,1.5948285992135849,7.4611373921620405,3.190133356002547,3,0.0434782608695652,0.0134004554716528,7.812997196891407
2.0,1.7937088125857623,8.05538257426559,4.195948029002214,2,0.0182608695652173,0.0207691188337544,8.262210615127472
1.9583333333333333,1.756458063130524,7.93221258584458,4.597222016138917,5,0.0813043478260869,0.0352685919497231,9.456236704404164
